transaction_id,customer_id,transaction_date,transaction_amount,account_type,transaction_type,status
1,2685,2025-03-06 13:28:41.673817,2310.1592225944205,checking,withdrawal,completed
2,1769,2024-05-06 13:28:41.673817,2069.7997835390797,savings,withdrawal,pending
3,7949,2024-12-20 13:28:41.673817,6383.2283252265415,investment,withdrawal,completed
4,3433,2024-07-16 13:28:41.673817,2576.269637980691,checking,withdrawal,completed
5,6311,2024-08-07 13:28:41.673817,6323.83470534398,investment,withdrawal,completed
6,6051,2024-11-19 13:28:41.673817,593.9615949444535,investment,deposit,pending
7,7420,2025-02-02 13:28:41.673817,1426.3261913357476,savings,transfer,completed
8,2184,2025-03-06 13:28:41.673817,2752.6571374612527,investment,deposit,completed
9,5555,2024-07-16 13:28:41.673817,5974.49869978796,savings,withdrawal,completed
10,4385,2024-11-03 13:28:41.673817,,savings,withdrawal,completed
11,2685,2024-05-16 13:28:41.673817,4432.742498127475,savings,withdrawal,completed
12,1769,2025-04-22 13:28:41.673817,4463.451236626517,savings,,
13,7949,2024-06-13 13:28:41.673817,7247.923345472195,checking,transfer,completed
14,3433,2024-06-21 13:28:41.673817,168.05270673816858,checking,transfer,completed
15,6311,2024-08-26 13:28:41.673817,3417.489344497463,checking,withdrawal,completed
16,6051,2024-06-11 13:28:41.673817,8188.883500621135,savings,transfer,completed
17,7420,2024-08-18 13:28:41.673817,6036.161908031589,checking,withdrawal,completed
18,2184,2024-06-06 13:28:41.673817,3378.8990562266495,,transfer,completed
19,5555,2025-03-07 13:28:41.673817,9056.192675373442,investment,withdrawal,completed
20,4385,2024-08-24 13:28:41.673817,7728.501047219332,savings,,completed
21,7396,2024-09-03 13:28:41.673817,2656.3055178949667,checking,,completed
22,9666,2024-09-13 13:28:41.673817,6456.445476881911,investment,transfer,completed
23,3558,2025-02-22 13:28:41.673817,5961.549774607677,investment,deposit,completed
24,8849,2025-03-10 13:28:41.673817,4017.867261249437,investment,deposit,failed
25,3047,2025-01-23 13:28:41.673817,3675.8912312559587,checking,transfer,pending
26,3747,2025-01-28 13:28:41.673817,,savings,deposit,pending
27,1189,2024-08-09 13:28:41.673817,6175.386276122512,checking,transfer,completed
28,3734,2024-07-13 13:28:41.673817,4429.675265441889,checking,withdrawal,completed
29,4005,2025-01-24 13:28:41.673817,8320.312501381706,investment,withdrawal,completed
30,5658,2025-02-01 13:28:41.673817,6699.330135178279,investment,,completed
31,2899,2025-02-11 13:28:41.673817,708.6167410372469,savings,withdrawal,completed
32,8734,2024-07-16 13:28:41.673817,6405.280556043379,investment,withdrawal,completed
33,2267,2024-12-31 13:28:41.673817,2718.7628906368464,savings,withdrawal,completed
34,2528,2024-07-02 13:28:41.673817,5932.1917966176925,savings,withdrawal,completed
35,4556,2024-11-16 13:28:41.673817,6804.517991723479,checking,transfer,failed
36,4890,2024-10-30 13:28:41.673817,2315.9835996485804,,deposit,completed
37,9838,2024-09-19 13:28:41.673817,4574.017862354883,checking,,pending
38,6393,2024-06-23 13:28:41.673817,1911.3453795624873,,transfer,completed
39,9792,2025-04-23 13:28:41.673817,532.865369107218,investment,deposit,completed
40,9433,2024-06-04 13:28:41.673817,3790.979470623832,checking,transfer,completed
41,8513,2024-08-10 13:28:41.673817,3635.81327574146,savings,withdrawal,completed
42,3612,2024-11-20 13:28:41.673817,9954.850102135528,investment,deposit,failed
43,8041,2024-11-30 13:28:41.673817,-100.0,savings,,pending
44,7235,2025-02-04 13:28:41.673817,3342.359799227282,,deposit,completed
45,6486,2024-12-04 13:28:41.673817,5808.945317099579,,deposit,completed
46,8099,2025-01-08 13:28:41.673817,896.786267136607,savings,withdrawal,failed
47,1775,2025-03-25 13:28:41.673817,9617.040702188584,checking,withdrawal,completed
48,9226,2024-07-19 13:28:41.673817,6353.250855454421,,withdrawal,pending
49,4152,2024-10-24 13:28:41.673817,,savings,transfer,completed
50,2585,2025-02-07 13:28:41.673817,1713.0746023574363,checking,withdrawal,completed
51,4943,2025-04-28 13:28:41.673817,-100.0,checking,withdrawal,completed
52,8555,2024-07-01 13:28:41.673817,4232.664242827934,savings,deposit,completed
53,4073,2024-10-15 13:28:41.673817,8219.846374571858,,withdrawal,completed
54,2021,2025-04-19 13:28:41.673817,22.35443079650033,investment,deposit,completed
55,4843,2024-09-08 13:28:41.673817,3015.5225524490183,savings,deposit,completed
56,8989,2024-10-17 13:28:41.673817,9812.551379699597,checking,withdrawal,completed
57,7873,2025-01-01 13:28:41.673817,4754.116569627124,checking,deposit,completed
58,6675,2025-04-10 13:28:41.673817,3831.4375396376427,investment,deposit,completed
59,1161,2024-08-12 13:28:41.673817,1207.091730156287,checking,deposit,completed
60,5297,2024-07-11 13:28:41.673817,9741.904639993876,checking,,completed
61,1995,2024-08-17 13:28:41.673817,210.06329569898645,checking,,completed
62,8629,2024-09-20 13:28:41.673817,7374.4304478223585,savings,withdrawal,failed
63,2016,2024-09-16 13:28:41.673817,7688.312049837199,,,pending
64,8869,2025-03-08 13:28:41.673817,2444.1305934780275,checking,transfer,completed
65,7439,2024-05-10 13:28:41.673817,6718.868851694243,savings,withdrawal,completed
66,8892,2024-05-23 13:28:41.673817,938.3621523501054,savings,deposit,pending
67,7863,2024-05-01 13:28:41.673817,2577.902191656478,,transfer,
68,8916,2024-07-24 13:28:41.673817,7881.140863039727,checking,transfer,completed
69,9529,2025-02-08 13:28:41.673817,8648.215058415068,savings,withdrawal,completed
70,1878,2024-10-10 13:28:41.673817,6088.779262471316,checking,transfer,completed
71,5887,2024-11-23 13:28:41.673817,5073.315933886621,investment,withdrawal,completed
72,5859,2024-12-31 13:28:41.673817,1601.4471659836133,savings,transfer,completed
73,7331,2025-03-02 13:28:41.673817,640.4592404607101,checking,,completed
74,9571,2024-09-27 13:28:41.673817,1185.3137944508508,savings,withdrawal,pending
75,9684,2024-12-23 13:28:41.673817,2281.2994279600266,investment,transfer,
76,8208,2024-09-18 13:28:41.673817,,checking,withdrawal,completed
77,6276,2024-10-03 13:28:41.673817,3815.2861598547624,investment,withdrawal,completed
78,3062,2025-01-05 13:28:41.673817,3469.7544682041453,checking,transfer,completed
79,1064,2024-10-03 13:28:41.673817,2398.1627686506836,savings,deposit,pending
80,9006,2025-04-16 13:28:41.673817,5102.145225049464,savings,withdrawal,completed
81,3568,2025-04-21 13:28:41.673817,8254.608221246639,investment,deposit,completed
82,6463,2025-03-21 13:28:41.673817,2804.238349330077,checking,withdrawal,completed
83,3027,2024-09-05 13:28:41.673817,9424.446320831308,investment,withdrawal,completed
84,3695,2024-07-23 13:28:41.673817,8734.63325062124,investment,transfer,completed
85,6258,2024-05-06 13:28:41.673817,,savings,deposit,completed
86,6618,2024-10-11 13:28:41.673817,7864.896808003374,investment,withdrawal,completed
87,7736,2024-08-27 13:28:41.673817,5750.127949354489,investment,deposit,
88,1391,2024-07-26 13:28:41.673817,5670.087868092472,checking,transfer,failed
89,6892,2024-09-07 13:28:41.673817,3916.5172029511623,checking,,failed
90,4561,2025-04-26 13:28:41.673817,5016.518461828277,,,completed
91,7184,2024-11-27 13:28:41.673817,3977.815986517818,checking,transfer,completed
92,4099,2025-04-01 13:28:41.673817,5401.928861411829,investment,transfer,completed
93,7278,2025-01-11 13:28:41.673817,6283.221027198632,,deposit,failed
94,9392,2025-01-22 13:28:41.673817,6746.295026026393,checking,deposit,completed
95,4104,2024-09-27 13:28:41.673817,5329.487113668667,savings,withdrawal,completed
96,8215,2024-07-11 13:28:41.673817,7217.0064526140295,savings,transfer,completed
97,3454,2025-02-14 13:28:41.673817,1421.367712262303,savings,,completed
98,9996,2024-06-08 13:28:41.673817,2127.705084113363,checking,deposit,completed
99,3731,2024-12-05 13:28:41.673817,8189.162690701959,checking,,completed
100,9154,2024-12-23 13:28:41.673817,3232.0544986856876,savings,withdrawal,completed
101,6056,2024-05-24 13:28:41.673817,238.70931151144126,investment,withdrawal,completed
102,9110,2025-03-19 13:28:41.673817,1546.3735851836307,investment,deposit,pending
103,4840,2024-05-09 13:28:41.673817,2243.9082006181493,savings,deposit,completed
104,2028,2025-03-20 13:28:41.673817,9573.655650066927,checking,withdrawal,completed
105,8385,2025-03-27 13:28:41.673817,5734.683875019185,savings,withdrawal,completed
106,1502,2025-04-13 13:28:41.673817,9327.980097357786,checking,deposit,pending
107,7910,2024-11-16 13:28:41.673817,5755.881871461283,,withdrawal,completed
